sys.exec.out.time {s},vehicle.planet_rel_state.hang_angle_body_vec[0] {--},vehicle.planet_rel_state.hang_angle_body_vec[1] {--},vehicle.planet_rel_state.hang_angle_body_vec[2] {--},vehicle.planet_rel_state.roll_wrt_hdg_body_vec[0] {--},vehicle.planet_rel_state.roll_wrt_hdg_body_vec[1] {--},vehicle.planet_rel_state.roll_wrt_hdg_body_vec[2] {--},vehicle.planet_rel_state.hang_angle {rad},vehicle.planet_rel_state.roll_wrt_heading {rad}
                   0,                   1,                   0,                   0,                   1,                   0,                   0,   1.631027110718442,-0.03722968163507084
                   5,                   1,                   0,                   0,                   1,                   0,                   0,   1.636802214635271,-0.03706177536800337
                  10,                   1,                   0,                   0,                   1,                   0,                   0,   1.642577370566455,-0.03689513407059277
                  15,                   1,                   0,                   0,                   1,                   0,                   0,   1.648352633848736,-0.03672977080625581
                  20,                   1,                   0,                   0,                   1,                   0,                   0,   1.654128059819793,-0.03656569889951028
                  25,                   1,                   0,                   0,                   1,                   0,                   0,   1.659903703819135,-0.03640293193673926
                  30,                   1,                   0,                   0,                   1,                   0,                   0,   1.665679621189001,-0.03624148376731957
                  35,                   1,                   0,                   0,                   1,                   0,                   0,   1.671455867275251,-0.03608136850470915
                  40,                   1,                   0,                   0,                   1,                   0,                   0,   1.677232497428255,-0.03592260052769176
                  45,                   1,                   0,                   0,                   1,                   0,                   0,   1.683009567003787,-0.03576519448186014
                  50,                   1,                   0,                   0,                   1,                   0,                   0,   1.688787131363908,-0.03560916528114356
                  55,                   1,                   0,                   0,                   1,                   0,                   0,   1.694565245877851,-0.03545452810949835
                  60,                   1,                   0,                   0,                   1,                   0,                   0,   1.700343965922904,-0.03530129842275789
                  65,                   1,                   0,                   0,                   1,                   0,                   0,   1.706123346885285,-0.03514949195068891
                  70,                   1,                   0,                   0,                   1,                   0,                   0,   1.711903444161017,-0.03499912469902591
                  75,                   1,                   0,                   0,                   1,                   0,                   0,   1.717684313156802,-0.03485021295184669
                  80,                   1,                   0,                   0,                   1,                   0,                   0,   1.723466009290884,-0.03470277327400169
                  85,                   1,                   0,                   0,                   1,                   0,                   0,    1.72924858799391,-0.03455682251373333
                  90,                   1,                   0,                   0,                   1,                   0,                   0,   1.735032104709792,-0.03441237780542285
                  95,                   1,                   0,                   0,                   1,                   0,                   0,   1.740816614896557,-0.03426945657253545
                 100,                   1,                   0,                   0,                   1,                   0,                   0,   1.746602174027195,-0.03412807653072625
