sys.exec.out.time {s},vehicle.planet_rel_state.landing_range.crossrange_angle {rad},vehicle.planet_rel_state.landing_range.downrange_angle {rad},vehicle.planet_rel_state.landing_range.totalrange_angle {rad},vehicle.planet_rel_state.landing_range.crossrange_angle {rad},vehicle.planet_rel_state.landing_range.downrange_angle {rad},vehicle.planet_rel_state.landing_range.total_range_avg_rad {m},vehicle.planet_rel_state.landing_range.cross_range_avg_rad {m},vehicle.planet_rel_state.landing_range.down_range_avg_rad {m},vehicle.planet_rel_state.landing_range.total_range_ref_rad {m},vehicle.planet_rel_state.landing_range.cross_range_ref_rad {m},vehicle.planet_rel_state.landing_range.down_range_ref_rad {m}
                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   5,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  10,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  15,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  20,0.0007081876348361417, 0.06221072669975175, 0.06221475226236693,0.0007081876348361417, 0.06221072669975175,   396937.1753166416,   4518.317427040041,   396911.4917706108,   396452.9474173074,   4512.805483356571,   396427.2952029086
                  25,0.0007014930331067758, 0.05642057600789176, 0.05642493214236646,0.0007014930331067758, 0.05642057600789176,   359993.6511645692,   4475.557677543093,   359965.8588271224,   359558.3015636957,   4470.145270290071,   359530.5428362389
                  30,0.0006971305597509901, 0.05063015300363427,  0.0506349480976581,0.0006971305597509901, 0.05063015300363427,   323049.1034836838,   4447.667289088266,   323018.5109604619,   322662.6111277103,   4442.346149389659,   322632.0552050431
                  35,0.0006951008677017818, 0.04483940387700668, 0.04484478767265093,0.0006951008677017818, 0.04483940387700668,   286103.7138732205,   4434.650047128252,   286069.3659811132,   285765.7967382125,   4429.412281360021,   285731.4894144051
                  40,0.0006954042452224905, 0.03904827481234108, 0.03905446334381457,0.0006954042452224905, 0.03904827481234108,   249157.8229811834,   4436.507200372283,   249118.3416800115,   248867.9378993869,   4431.345503110352,   248828.5025331171
                  45,0.0006980406157940642, 0.03325671198674102, 0.03326403422946392,0.0006980406157940642, 0.03325671198674102,   212212.0689800844,   4453.237460253114,   212165.3558163387,   211969.4113326596,   4448.145327035985,   211922.7515839081
                  50,0.000703009538041308, 0.02746466156855397,  0.0274736552576116,0.000703009538041308, 0.02746466156855397,   175267.7011867329,   4484.837000737655,    175210.326105349,   175071.2042904909,   4479.808940548417,   175013.8935337107
                  55,0.0007103102056935087, 0.02167206971577326, 0.02168370511145708,0.0007103102056935087, 0.02167206971577326,   138327.3961731188,   4531.299458451868,   138253.1702057339,   138175.7298672854,   4526.331205824396,   138101.5852834772
                  60,0.0007199414475807683, 0.01587888257463091,  0.0158951937372136,0.0007199414475807683, 0.01587888257463091,   101397.8570937868,   4592.615933128327,   101293.8057081959,   101289.4237738416,   4587.704659782562,   101185.4836592135
                  65,0.0007319017276682096, 0.01008504627797521, 0.01011156864224337,0.0007319017276682096, 0.01008504627797521,   64501.33533732763,   4668.774988390211,   64332.15012263673,   64434.25466558781,   4663.919514301413,    64265.2454016395
                  70,0.0007461891451265532,0.004290506943819444,0.004354910407656966,0.0007461891451265532,0.004290506943819444,   27778.93520738669,   4759.762652862029,   27368.12086642385,   27750.92729732309,   4754.963656669044,   27340.52715694168
                  75,0.000762801434437011,-0.001504789326400209,0.001687085210095142,0.000762801434437011,-0.001504789326400209,   10761.14704257752,   4865.562421593877,  -9598.364749211823,   10750.66410721604,   4860.822650251564,  -9589.014534328244
                  80,0.000781735965535713,-0.007300896448864282,0.007342628222831175,0.000781735965535713,-0.007300896448864282,   46833.56776925086,    4986.15525783231,  -46567.38952831359,   46789.65188923147,   4981.479735413435,  -46523.72324387808
                  85,0.0008029897439918339,-0.01309786835937569, 0.01312245827639982,0.0008029897439918339,-0.01309786835937569,   83695.87245830889,   5121.519595100519,  -83539.03640551584,   83620.63774038761,   5116.915830652545,  -83463.94266845593
                  90,0.0008265594112226941,-0.01889575901465837, 0.01891382636819263,0.0008265594112226941,-0.01889575901465837,   120628.6184401253,   5271.631339608451,  -120513.3884568696,   120525.1477814674,   5267.109533970913,  -120410.0166381256
                  95,0.0008524412447473841,-0.02469462239378029, 0.02470932786480315,0.0008524412447473841,-0.02469462239378029,   157584.3133950967,   5436.463873002573,  -157490.5289114811,   157455.9972430745,   5432.037124490857,  -157362.2891253344
                 100,0.0008806311584747474,-0.03049451249980373, 0.03050722149650264,0.0008806311584747474,-0.03049451249980373,   194551.5893684818,   5615.988055428469,  -194470.5411646217,    194402.090179455,   5611.672564290125,  -194321.1042554293
