sys.exec.out.time {s},gust_unit.gust.magnitude {m/s},gust_unit.gust.gust_vector[0] {m/s},gust_unit.gust.gust_vector[1] {m/s},gust_unit.gust.gust_vector[2] {m/s}
                   0,                   0,                   0,                   0,                   0
                 0.5,                   0,                   0,                   0,                   0
                   1,                   0,                   0,                   0,                   0
                 1.5,                   0,                   0,                   0,                   0
                   2,                   0,                   0,                   0,                   0
                 2.5,                   0,                   0,                   0,                   0
                   3,                   0,                   0,                   0,                   0
                 3.5,                   0,                   0,                   0,                   0
                   4,                   0,                   0,                   0,                   0
                 4.5,                   0,                   0,                   0,                   0
                   5,                   0,                   0,                   0,                   0
                 5.5,                   0,                   0,                   0,                   0
                   6,   2.447174185242323,   2.447174185242323,                   0,                   0
                 6.5,   9.549150281252627,   9.549150281252627,                   0,                   0
                   7,   20.61073738537634,   20.61073738537634,                   0,                   0
                 7.5,   34.54915028125263,   34.54915028125263,                   0,                   0
                   8,   49.99999999999999,   49.99999999999999,                   0,                   0
                 8.5,   65.45084971874738,   65.45084971874738,                   0,                   0
                   9,   79.38926261462365,   79.38926261462365,                   0,                   0
                 9.5,   90.45084971874738,   90.45084971874738,                   0,                   0
                  10,   97.55282581475768,   97.55282581475768,                   0,                   0
                10.5,                 100,                 100,                   0,                   0
                  11,   97.55282581475768,   68.98026465752524,   68.98026465752524,                   0
                11.5,   90.45084971874738,   63.95840920021159,   63.95840920021159,                   0
                  12,   79.38926261462368,   56.13668594820005,   56.13668594820005,                   0
                12.5,   65.45084971874738,    46.2807396705479,    46.2807396705479,                   0
                  13,   50.00000000000001,   35.35533905932738,   35.35533905932738,                   0
                13.5,   34.54915028125264,   24.42993844810685,   24.42993844810685,                   0
                  14,   20.61073738537635,   14.57399217045471,   14.57399217045471,                   0
                14.5,   9.549150281252633,   6.752268918443163,   6.752268918443163,                   0
                  15,   2.447174185242323,   1.730413461129511,   1.730413461129511,                   0
                15.5,                   0,                   0,                   0,                   0
                  16,                   0,                   0,                   0,                   0
                16.5,                   0,                   0,                   0,                   0
                  17,                   0,                   0,                   0,                   0
                17.5,                   0,                   0,                   0,                   0
                  18,                   0,                   0,                   0,                   0
                18.5,   2.447174185242323,   1.730413461129511,   1.730413461129511,                   0
                  19,   9.549150281252627,    6.75226891844316,    6.75226891844316,                   0
                19.5,   20.61073738537634,    14.5739921704547,    14.5739921704547,                   0
                  20,   34.54915028125263,   24.42993844810685,   24.42993844810685,                   0
                20.5,   49.99999999999999,   35.35533905932737,   35.35533905932737,                   0
                  21,   65.45084971874738,    46.2807396705479,    46.2807396705479,                   0
                21.5,   79.38926261462365,   56.13668594820003,   56.13668594820003,                   0
                  22,   90.45084971874738,   63.95840920021159,   63.95840920021159,                   0
                22.5,   97.55282581475768,   68.98026465752524,   68.98026465752524,                   0
                  23,                 100,   57.73502691896258,   57.73502691896258,   57.73502691896258
                23.5,   97.55282581475768,   56.32215024435903,   56.32215024435903,   56.32215024435903
                  24,   90.45084971874738,   52.22182243354919,   52.22182243354919,   52.22182243354919
                24.5,   79.38926261462368,   45.83541214131888,   45.83541214131888,   45.83541214131888
                  25,   65.45084971874738,   37.78806570380855,   37.78806570380855,   37.78806570380855
                25.5,   50.00000000000001,    28.8675134594813,    28.8675134594813,    28.8675134594813
                  26,   34.54915028125264,   19.94696121515405,   19.94696121515405,   19.94696121515405
                26.5,   20.61073738537635,   11.89961477764372,   11.89961477764372,   11.89961477764372
                  27,   9.549150281252633,   5.513204485413399,   5.513204485413399,   5.513204485413399
                27.5,   2.447174185242323,   1.412876674603559,   1.412876674603559,   1.412876674603559
                  28,                   0,                   0,                   0,                   0
                28.5,                   0,                   0,                   0,                   0
                  29,                   0,                   0,                   0,                   0
                29.5,                   0,                   0,                   0,                   0
                  30,                   0,                   0,                   0,                   0
