sys.exec.out.time {s},ventset_obj.extra_vent.force_mag {N},ventset_obj.extra_vent.impulse_mag {N*s},ventset_obj.extra_vent.duration {s},ventset_obj.extra_vent.stop_time {s},ventset_obj.extra_vent.direction[0] {--},ventset_obj.extra_vent.direction[1] {--},ventset_obj.extra_vent.direction[2] {--},ventset_obj.extra_vent.force[0] {N},ventset_obj.extra_vent.force[1] {N},ventset_obj.extra_vent.force[2] {N},ventset_obj.extra_vent.impulse[0] {N*s},ventset_obj.extra_vent.impulse[1] {N*s},ventset_obj.extra_vent.impulse[2] {N*s},ventset_obj.extra_vent.flowrate {kg/s},ventset_obj.extra_vent.exhaust_speed {m/s},ventset_obj.extra_vent.direction_set {--},ventset_obj.extra_vent.duration_set {--},ventset_obj.extra_vent.force_mag_set {--},ventset_obj.extra_vent.force_set {--},ventset_obj.extra_vent.impulse_mag_set {--},ventset_obj.extra_vent.impulse_set {--},ventset_obj.extra_vent.flowrate_set {--},ventset_obj.extra_vent.exhaust_set {--}
                   0,                   4,                   8,                   2,                   0,                   0,                   0,                   1,                   0,                   0,                   4,                   0,                   0,                   8,                0.25,                  16,1,1,1,1,1,1,1,1
                   1,                   4,                   8,                   2,                   0,                   0,                   1,                   0,                   0,                   4,                   0,                   0,                   8,                   0,                0.25,                  16,1,1,1,1,1,1,1,1
                   2,                   4,                  16,                   4,                   0,                   0,                   1,                   0,                   0,                   4,                   0,                   0,                  16,                   0,                0.25,                  16,1,1,1,1,1,1,1,1
                   3,                   6,                  24,                   4,                   0,                   0,                   1,                   0,                   0,                   6,                   0,                   0,                  24,                   0,               0.375,                  16,1,1,1,1,1,1,1,1
                   4,                   8,                  24,                   4,                   0,                   0,                   1,                   0,                   0,                   8,                   0,                   0,                  24,                   0,                 0.5,                  16,1,0,1,1,1,1,1,1
                   5,                  10,                  24,                 2.4,                   0,                   0,                   1,                   0,                   0,                  10,                   0,                   0,                  24,                   0,               0.625,                  16,1,1,1,1,1,1,1,1
                   6,                   4,                  24,                 2.4,                   0,                   0,                   1,                   0,                   0,                   4,                   0,                   0,                  24,                   0,                0.25,                  16,1,0,1,1,0,0,1,1
                   7,                   4,                  24,                 2.4,                   0,                   0,                   1,                   0,                   0,                   4,                   0,                   0,                  24,                   0,                0.25,                  16,1,0,1,1,0,0,1,1
                   8,                   0,                  24,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                  24,                   0,                   0,                  16,1,0,1,1,0,0,1,1
                   9,                   4,                  16,                   4,                   0,                   0,                   1,                   0,                   0,                   4,                   0,                   0,                  16,                   0,                 0.2,                  20,1,1,1,1,1,1,1,1
                  10,                   6,                  24,                   4,                   0,                   0,                   0,                   1,                   0,                   0,                   6,                   0,                   0,                  24,                 0.3,                  20,1,1,1,1,1,1,1,1
                  11,                   6,                  18,                   3,                   0,                   0,                   0,                   1,                   0,                   0,                   6,                   0,                   0,                  18,                 0.3,                  20,1,1,1,1,1,1,1,1
                  12,                   6,                  15,                   3,                   0,                   0,                   0,                   1,                   0,                   0,                   6,                   0,                   0,                  15,                 0.3,                  20,1,1,0,0,1,1,1,1
                  13,                   4,                  12,                   3,                   0,                   0,                   0,                   1,                   0,                   0,                   4,                   0,                   0,                  12,                 0.2,                  20,1,1,1,1,1,1,1,1
                  14,                   8,                  24,                   3,                   0,                   0,                   0,                   1,                   0,                   0,                   8,                   0,                   0,                  24,                 0.2,                  40,1,1,1,1,1,1,1,1
                  15,                   8,                  20,                 2.5,                   0,  0.6000000000000001,                 0.8,                   0,   4.800000000000001,                 6.4,                   0,                  12,                  16,                   0,                 0.2,                  40,1,1,1,1,1,1,1,1
                  16,                   4,                  20,                   5,                   0,  0.6000000000000001,                 0.8,                   0,                 2.4,                 3.2,                   0,                  12,                  16,                   0,                 0.1,                  40,1,1,1,1,1,1,1,1
                  17,                   4,                  20,                   5,                   0,  0.6000000000000001,                 0.8,                   0,                 2.4,                 3.2,                   0,                  12,                  16,                   0,                 0.2,                  20,1,1,1,1,1,1,1,1
                  18,                   2,                  20,                  10,                   0,  0.6000000000000001,                 0.8,                   0,                 1.2,                 1.6,                   0,                  12,                  16,                   0,                 0.2,                  10,1,1,1,1,1,1,1,1
                  19,                   2,                  20,                  10,                   0,  0.6000000000000001,                 0.8,                   0,                 1.2,                 1.6,                   0,                  12,                  16,                   0,                 0.2,                  20,1,1,1,1,1,1,0,1
                  20,                   2,                  20,                  10,                   0,  0.6000000000000001,                 0.8,                   0,                 1.2,                 1.6,                   0,                  12,                  16,                   0,                0.05,                  40,1,1,1,1,1,1,1,1
                  21,                   2,                  20,                  10,                  31,  0.6000000000000001,                 0.8,                   0,                 1.2,                 1.6,                   0,                  12,                  16,                   0,                0.05,                  40,1,1,1,1,1,1,1,1
                  22,                   2,                  10,                   5,                  26,  0.6000000000000001,                 0.8,                   0,                 1.2,                 1.6,                   0,   6.000000000000001,                   8,                   0,                0.05,                  40,1,1,1,1,1,1,1,1
                  23,                   1,                  10,                  10,                  31,  0.6000000000000001,                 0.8,                   0,  0.6000000000000001,                 0.8,                   0,   6.000000000000001,                   8,                   0,               0.025,                  40,1,1,1,1,1,1,1,1
                  24,                   0,                  10,                   0,                  31,  0.6000000000000001,                 0.8,                   0,                   0,                   0,                   0,   6.000000000000001,                   8,                   0,                   0,                  40,1,0,1,1,1,1,1,1
                  25,                   4,                  10,                   0,                  31,  0.6000000000000001,                 0.8,                   0,                 2.4,                 3.2,                   0,   6.000000000000001,                   8,                   0,                 0.1,                  40,1,0,1,1,0,0,1,1
                  26,                   4,                  20,                   0,                  31,  0.6000000000000001,                 0.8,                   0,                 2.4,                 3.2,                   0,                  12,                  16,                   0,                 0.1,                  40,1,0,1,1,1,1,1,1
                  27,                   4,                  10,                   0,                  31,                   1,                   0,                   0,                 2.4,                 3.2,                   0,                  10,                   0,                   0,                 0.1,                  40,1,0,1,1,1,1,1,1
                  28,                   2,                  10,                   5,                  31,                   0,                   1,                   0,                   0,                   2,                   0,                   0,                  10,                   0,                0.05,                  40,1,1,1,1,1,1,1,1
                  29,                   2,                  10,                   5,                  31,                   0,                   1,                   0,                   0,                   2,                   0,                   0,                  10,                   0,                0.05,                  40,0,1,0,0,0,0,0,0
