sys.exec.out.time {s},ventset_obj.root_body.composite_properties.mass {kg},ventset_obj.tank[0].dynamic_properties.consumable_mass {kg},ventset_obj.tank[1].dynamic_properties.consumable_mass {kg},ventset_obj.set_2_tanks.force[0] {N},ventset_obj.set_2_tanks.force[1] {N},ventset_obj.set_2_tanks.force[2] {N},ventset_obj.set_2_tanks.torque[0] {N*m},ventset_obj.set_2_tanks.torque[1] {N*m},ventset_obj.set_2_tanks.torque[2] {N*m},ventset_obj.root_body.composite_body.state.trans.velocity[0] {m/s},ventset_obj.root_body.composite_body.state.trans.velocity[1] {m/s},ventset_obj.root_body.composite_body.state.trans.velocity[2] {m/s},ventset_obj.root_body.composite_body.state.rot.ang_vel_this[0] {radian/s},ventset_obj.root_body.composite_body.state.rot.ang_vel_this[1] {radian/s},ventset_obj.root_body.composite_body.state.rot.ang_vel_this[2] {radian/s}
                   0,                   5,                   1,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   1,                   5,                 0.5,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                 1.6,                 1.6,                -1.6,                   0
                   2,                   5,                 0.5,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                 1.6,                 1.6,                -1.6,                   0
                   3,                   5,                 0.5,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                 1.6,                 1.6,                -1.6,                   0
                   4,                   5,               0.375,                   1,                   0,                   0,                   0,                   0,                   0,                   0, -0.1368512586618384, -0.1368512586618384,   1.950062088786177,                   2,                  -2,                   0
                   5,                   5,               0.375,                   1,                   0,                   0,                   0,                   0,                   0,                   0, -0.1368512586618384, -0.1368512586618384,   1.950062088786177,                   2,                  -2,                   0
                   6,                   5,               0.375,                   1,                   0,                   0,                   0,                   0,                   0,                   0, -0.1368512586618384, -0.1368512586618384,   1.950062088786177,                   2,                  -2,                   0
                   7,                   5,               0.375,                   1,                   0,                   0,                   0,                   0,                   0,                   0, -0.1368512586618384, -0.1368512586618384,   1.950062088786177,                   2,                  -2,                   0
                   8,                   5,               0.375,                   1,                   0,                   0,                   0,                   0,                   0,                   0, -0.1368512586618384, -0.1368512586618384,   1.950062088786177,                   2,                  -2,                   0
                   9,                   5,               0.375,                   1,                   0,                   0,                   0,                   0,                   0,                   0, -0.1368512586618384, -0.1368512586618384,   1.950062088786177,                   2,                  -2,                   0
                  10,                   5,               0.375,                   1,                   0,                   0,                   0,                   0,                   0,                   0, -0.1368512586618384, -0.1368512586618384,   1.950062088786177,                   2,                  -2,                   0
