sys.exec.out.time {s},test.var_i {1},test.constraints.threshold_x5s.violation_count {--},test.constraints.threshold_x5s.violated {--},test.constraints.threshold_x5s.tests[0].violation {--},test.constraints.threshold_x5s.tests[1].violation {--},test.constraints.threshold_x5s.tests[2].violation {--},test.constraints.threshold_x5s.tests[3].violation {--},test.constraints.threshold_x5s.tests[4].violation {--},test.constraints.threshold_x5s.tests[0].violation_timer {s},test.constraints.threshold_x5s.tests[1].violation_timer {s},test.constraints.threshold_x5s.tests[2].violation_timer {s},test.constraints.threshold_x5s.tests[3].violation_timer {s},test.constraints.threshold_x5s.tests[4].violation_timer {s},test.constraints.threshold_x5s.test_violated_time_limit {--},test.constraints.threshold_x5s.test_violated_index {--}
                   0,9,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 0.1,9,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 0.2,9,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 0.3,9,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 0.4,9,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 0.5,9,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 0.6,9,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 0.7,9,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 0.8,9,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 0.9,9,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                   1,10,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 1.1,10,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 1.2,10,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 1.3,10,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 1.4,10,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 1.5,10,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 1.6,10,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 1.7,10,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 1.8,10,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                 1.9,10,0,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                   0,0
                   2,21,0,0,0,0,0,0,0,                 0.1,                 0.1,                   0,                   0,                   0,                   0,0
                 2.1,21,0,0,0,0,0,0,0,                 0.2,                 0.2,                   0,                   0,                   0,                   0,0
                 2.2,21,0,0,0,0,0,0,0,                 0.3,                 0.3,                   0,                   0,                   0,                   0,0
                 2.3,21,0,0,0,0,0,0,0,                 0.4,                 0.4,                   0,                   0,                   0,                   0,0
                 2.4,21,0,0,0,0,0,0,0,                 0.5,                 0.5,                   0,                   0,                   0,                   0,0
                 2.5,21,0,0,0,0,0,0,0,                 0.6,                 0.6,                   0,                   0,                   0,                   0,0
                 2.6,21,0,0,0,0,0,0,0,                 0.7,                 0.7,                   0,                   0,                   0,                   0,0
                 2.7,21,0,0,0,0,0,0,0,  0.7999999999999999,  0.7999999999999999,                   0,                   0,                   0,                   0,0
                 2.8,21,0,0,0,0,0,0,0,  0.8999999999999999,  0.8999999999999999,                   0,                   0,                   0,                   0,0
                 2.9,21,0,0,0,0,0,0,0,  0.9999999999999999,  0.9999999999999999,                   0,                   0,                   0,                   0,0
                   3,25,0,0,0,0,0,0,0,                 1.1,                 1.1,                   0,                   0,                   0,                   0,0
                 3.1,25,0,0,0,0,0,0,0,                 1.2,                 1.2,                   0,                   0,                   0,                   0,0
                 3.2,25,0,0,0,0,0,0,0,                 1.3,                 1.3,                   0,                   0,                   0,                   0,0
                 3.3,25,0,0,0,0,0,0,0,                 1.4,                 1.4,                   0,                   0,                   0,                   0,0
                 3.4,25,0,0,0,0,0,0,0,                 1.5,                 1.5,                   0,                   0,                   0,                   0,0
                 3.5,25,0,0,0,0,0,0,0,                 1.6,                 1.6,                   0,                   0,                   0,                   0,0
                 3.6,25,0,0,0,0,0,0,0,                 1.7,                 1.7,                   0,                   0,                   0,                   0,0
                 3.7,25,0,0,0,0,0,0,0,                 1.8,                 1.8,                   0,                   0,                   0,                   0,0
                 3.8,25,0,0,0,0,0,0,0,   1.900000000000001,   1.900000000000001,                   0,                   0,                   0,                   0,0
                 3.9,25,0,0,0,0,0,0,0,                   2,                   2,                   0,                   0,                   0,                   0,0
                   4,33,0,0,0,0,0,0,0,   2.100000000000001,   2.100000000000001,                 0.1,                 0.1,                   0,                   0,0
                 4.1,33,0,0,0,0,0,0,0,   2.200000000000001,   2.200000000000001,                 0.2,                 0.2,                   0,                   0,0
                 4.2,33,1,1,0,0,0,1,0,   2.300000000000001,   2.300000000000001,                 0.3,                 0.3,                   0,  0.2209888055175269,3
                 4.3,33,1,1,0,0,0,1,0,   2.400000000000001,   2.400000000000001,                 0.4,                 0.4,                   0,  0.2209888055175269,3
                 4.4,33,1,1,0,0,0,1,0,   2.500000000000001,   2.500000000000001,                 0.5,                 0.5,                   0,  0.2209888055175269,3
                 4.5,33,1,1,0,0,0,1,0,   2.600000000000001,   2.600000000000001,                 0.6,                 0.6,                   0,  0.2209888055175269,3
                 4.6,33,1,1,0,0,0,1,0,   2.700000000000001,   2.700000000000001,                 0.7,                 0.7,                   0,  0.2209888055175269,3
                 4.7,33,1,1,0,0,0,1,0,   2.800000000000001,   2.800000000000001,  0.7999999999999999,  0.7999999999999999,                   0,  0.2209888055175269,3
                 4.8,33,1,1,0,0,1,1,0,   2.900000000000001,   2.900000000000001,  0.8999999999999999,  0.8999999999999999,                   0,  0.8448537605339211,2
                 4.9,33,1,1,0,0,1,1,0,   3.000000000000001,   3.000000000000001,  0.9999999999999999,  0.9999999999999999,                   0,  0.8448537605339211,2
                   5,37,1,1,0,0,1,1,0,   3.100000000000001,   3.100000000000001,                 1.1,                 1.1,                   0,  0.8448537605339211,2
                 5.1,37,1,1,0,1,1,1,0,   3.200000000000002,   3.200000000000002,                 1.2,                 1.2,                   0,   3.123686630807866,1
                 5.2,37,1,1,0,1,1,1,0,   3.300000000000002,   3.300000000000002,                 1.3,                 1.3,                   0,   3.123686630807866,1
                 5.3,37,1,1,0,1,1,1,0,   3.400000000000002,   3.400000000000002,                 1.4,                 1.4,                   0,   3.123686630807866,1
                 5.4,37,1,1,0,1,1,1,0,   3.500000000000002,   3.500000000000002,                 1.5,                 1.5,                   0,   3.123686630807866,1
                 5.5,37,1,1,0,1,1,1,0,   3.600000000000002,   3.600000000000002,                 1.6,                 1.6,                   0,   3.123686630807866,1
                 5.6,37,1,1,1,1,1,1,0,   3.700000000000002,   3.700000000000002,                 1.7,                 1.7,                   0,                 3.7,0
                 5.7,37,1,1,1,1,1,1,0,   3.800000000000002,   3.800000000000002,                 1.8,                 1.8,                   0,                 3.7,0
                 5.8,37,1,1,1,1,1,1,0,   3.900000000000002,   3.900000000000002,   1.900000000000001,   1.900000000000001,                   0,                 3.7,0
                 5.9,37,1,1,1,1,1,1,0,   4.000000000000002,   4.000000000000002,                   2,                   2,                   0,                 3.7,0
                   6,5,1,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                 3.7,0
                 6.1,5,1,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                 3.7,0
                 6.2,5,1,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                 3.7,0
                 6.3,5,1,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,                 3.7,0
