sys.exec.out.time {s},fd_obj.time {1},fd_obj.in_scalar {1},fd_obj.out_scalar_deriv1 {1},fd_obj.out_math_utils {1},fd_obj.out_scalar_deriv2 {1},fd_obj.error_deriv1 {1},fd_obj.error_mu2 {1},fd_obj.error_mu {1},fd_obj.error_deriv2 {1}
                   0,                   3,          -196597.82,          -219409.88,          -219409.88,                   0, -0.1677477871963954, -0.1677477871963954, -0.1677477871963954,                  -1
                   1,                   4,  -624587.6800000001,          -562829.84,  -611989.8400000001,          -417159.96, -0.1020552336300329, -0.1020552336300329,-0.02362484210219978, -0.1151666425003939
                   2,                   5,          -1528969.5,          -1142577.8,          -1226289.8,  -683103.9599999996,-0.06826445102943875,-0.06826445102943875,-1.898659221122687e-16,-0.07363168286583627
                   3,                   6,         -3175687.28,         -2017885.76,         -2121341.76,         -1008279.96,-0.04876913373920466,-0.04876913373920466,2.195126198372389e-16, -0.0510984645276562
                   4,                   7,         -5889917.02,         -3247985.72,  -3371185.720000002,         -1392687.96,-0.03654500529861062,-0.03654500529861062,4.143894694485173e-16,-0.03752356729648858
                   5,                   8,        -10056066.72,  -4892109.680000002,  -5035053.680000005,  -1836327.960000003,-0.02838976683958555,-0.02838976683958555,1.109806528953008e-15, -0.0287185612521261
                   6,                   9,        -16117776.38,  -7009489.639999999,  -7172177.640000002,  -2339199.959999999,-0.02268320838745998,-0.02268320838745998,2.59704268734615e-16,-0.02268480954528179
                   7,                  10,           -24577918,  -9659357.599999998,  -9841789.600000005,  -2901303.959999997,-0.01853646617277836,-0.01853646617277836,5.677763572280463e-16,-0.01837055106740589
                   8,                  11,        -35998595.58,        -12900945.56,        -13103121.56,  -3522639.959999999,-0.01542960576792526,-0.01542960576792526,-1.421527794504378e-16,-0.01517947220950551
                   9,                  12,        -51001145.12,        -16793485.52,  -17015405.52000001,  -4203207.960000018, -0.0130422986239827, -0.0130422986239827,6.568089653960678e-16,-0.01275301221328337
                  10,                  13,        -70266134.62,  -21396209.48000001,  -21637873.48000002,  -4943007.960000008,-0.01116856516530426,-0.01116856516530426,6.886610741864665e-16,-0.01086505852647627
                  11,                  14,        -94533364.08,  -26768349.43999999,  -27029757.43999997,  -5742039.959999964,-0.009671118972498165,-0.009671118972498165,-1.240396357998439e-15,-0.009367296922526264
                  12,                  15,        -124601865.5,  -32969137.40000001,  -33250289.40000005,  -6600303.960000046,-0.008455625652388835,-0.008455625652388835,1.680567462276846e-15,-0.008159168143287513
