sys.exec.out.time {s},fd_obj.time {1},fd_obj.in_vec3[0] {1},fd_obj.in_vec3[1] {1},fd_obj.in_vec3[2] {1},fd_obj.out_vec3_deriv1[0] {1},fd_obj.out_vec3_deriv1[1] {1},fd_obj.out_vec3_deriv1[2] {1},fd_obj.out_vec3_deriv2[0] {1},fd_obj.out_vec3_deriv2[1] {1},fd_obj.out_vec3_deriv2[2] {1},fd_obj.error_deriv1_vec[0] {1},fd_obj.error_deriv1_vec[1] {1},fd_obj.error_deriv1_vec[2] {1},fd_obj.error_deriv2_vec[0] {1},fd_obj.error_deriv2_vec[1] {1},fd_obj.error_deriv2_vec[2] {1}
                   0,                 2.7,            136.9612,            209.7883,   282.6154000000001,             145.414,             224.596,             303.778,                   0,                   0,                   0, -0.2170846479373727, -0.2156208091193562, -0.2149181522621197,                  -1,                  -1,                  -1
                   1,                 4.2,   719.2672000000001,           1104.5248,           1489.7824,             548.914,   843.1060000000001,            1137.298,   373.8799999999999,   572.4199999999998,   770.9599999999997, -0.1619940643396274, -0.1605004898954092,  -0.159777713421121,  -0.170188210227273, -0.1673164203421391, -0.1659165656915358
                   2,                 4.5,                 937,           1438.1875,            1939.375,   782.0380000000002,   1198.162000000001,   1614.286000000001,   487.6400000000008,   743.9600000000013,   1000.280000000003,-0.02214692091278495,-0.02190857142857066,-0.02179306165732434,-0.05312621359223138,-0.05228025477706842,-0.05186729857819627
                   3,                 5.1,           1517.8012,   2326.972299999999,   3136.143399999999,            1129.486,            1727.374,   2325.262000000001,   640.2799999999991,   974.7200000000009,   1309.160000000003,-0.01821219396438534,-0.01801972858416235,-0.01792621212261955,-0.02521161926801195,-0.02485093441113991,-0.02467443454420625
                   4,                   6,                2851,                4363,                5875,   1789.329999999999,             2730.82,   3672.309999999999,   879.3199999999961,   1335.979999999994,   1792.639999999999,-0.03227149810708544,-0.03196738745125836,-0.03181914052201437,-0.02514412416851877,-0.02483211678832547,-0.02467899891186104
                   5,                 7.2,   5808.059200000002,   8868.692800000001,          11929.3264,   3025.864000000001,            4607.596,   6189.328000000001,             1243.64,   1886.059999999999,   2528.479999999998,-0.04150902276407488,-0.04116605097248617,-0.04099828817427145,  -0.035459452751753,-0.03508574468955986,-0.03490182906348374
                   6,   8.699999999999999,          12201.8452,   18589.32429999999,   24976.80339999999,   5261.583999999999,            7994.686,           10727.788,   1794.079999999996,   2716.220000000001,   3638.360000000003,-0.04568972052930499,-0.04536229655089376, -0.0452016250405629,-0.04098868908892853,-0.04062530905186372,-0.04044602449547847
                   7,                   9,               13942,               21232,               28522,   6056.847999999997,   9197.002000000004,           12337.156,   1972.639999999997,   2984.959999999975,   3997.279999999988,-0.006096488349196385,-0.006051875067545224,-0.00602997099581029,-0.01368000000000143,-0.01356245869134981,-0.01350444225074324
                   8,                 9.6,          17974.4272,          27352.6288,          36730.8304,   7334.176000000007,           11129.134,           14924.092,   2254.880000000051,   3410.120000000004,   4565.360000000072,-0.005477202190012141,-0.005438609786316379,-0.005419643147513876,-0.007290529355804693,-0.007231525257934897,-0.007202379916826636
                   9,                10.5,             25589.5,          38902.1875,           52214.875,   9505.479999999994,   14411.91999999999,   19318.35999999998,   2688.320000000022,    4062.98000000004,   5437.640000000043,-0.01126199453907225,-0.01118902229845713, -0.0111531128031233,-0.008365916635919757,-0.008303636807410402,-0.008272843333933418
                  10,                11.7,          39228.9472,   59569.43229999999,   79909.91739999999,           13026.214,           19731.196,   26436.17800000001,    3311.84000000004,   5001.860000000044,   6691.880000000077,-0.01673916328640126,-0.01664083740242267,-0.01659238088166646,-0.01361703141565879,-0.01352545341231816,-0.01348012477664658
                  11,                13.2,          63207.5632,          95867.1088,         128526.6544,   18552.15400000002,   28073.86600000001,   37595.57800000001,   4186.280000000017,   6318.020000000033,   8449.760000000031,-0.02098748571493605,-0.02087683036290972,-0.02082221644832914,-0.01798750164204734,-0.01787957171103645,-0.01782609099954062
                  12,                13.5,            69087.25,         104762.6875,          140438.125,   20201.15799999998,   30560.84199999994,   40920.52599999995,   4429.639999999939,   6683.960000000036,   8938.280000000072,-0.002793597512064389,-0.00277876394962034,-0.002771440930443542,-0.006138658290343417,-0.006102602230477991,-0.006084732569768532
                  13,                14.1,          82067.9632,         124396.6003,         166725.2374,   22991.56599999999,   34770.69400000008,   46549.82200000016,   4841.480000000418,    7303.52000000103,   9765.560000000711,-0.00259559094854071,-0.002582219204241257,-0.002575614592540357,-0.003408782142506636,-0.003389571472876563,-0.003380047108313525
                  14,                  15,              104866,              158866,              212866,   27549.12999999998,   41645.01999999999,   55740.90999999992,   5469.320000000182,   8247.979999999865,   11026.64000000013,-0.005661950480041307,-0.005634535947088429,-0.005620986156701938,-0.004129643117228404,-0.004107703453288462,-0.004096820809236778
