sys.exec.out.time {s},mutil_verif.latitude {1},mutil_verif.longitude {1},mutil_verif.Q_enu_pfix.scalar {--},mutil_verif.Q_enu_pfix.vector[0] {--},mutil_verif.Q_enu_pfix.vector[1] {--},mutil_verif.Q_enu_pfix.vector[2] {--}
                   0,                   0,                   0,                 0.5,                 0.5,                 0.5,                 0.5
                   1,                   0,            1.570796,1.15539443734658e-07,1.15539443734658e-07,  0.7071067811865381,  0.7071067811865381
                   2,            1.570796,                   0,  0.7071067811865381,1.15539443734658e-07,1.15539443734658e-07,  0.7071067811865381
                   3,            1.570796,            1.570796,1.633974483494782e-07,2.670086374223501e-14,1.633974483494782e-07,  0.9999999999999732
                   4,            1.570797,            1.570796, -0.9999999999999302,-3.366025517481663e-07,5.498379529456088e-14,1.633974485437673e-07
                   5,           -1.570797,            1.570796,-3.366025517204108e-07, -0.9999999999999302,1.633974485715228e-07,5.498379529456088e-14
                   6,                   0,            0.523599,  0.3535533218845634,  0.3535533218845634,  0.6123724753647819,  0.6123724753647819
                   7,            0.523599,                   0,  0.6123724753647819,  0.3535533218845634,  0.3535533218845634,  0.6123724753647819
                   8,            0.523599,            0.523599,  0.4330126457917832,  0.2499999028312194,  0.4330126457917831,  0.7500000971687807
                   9,                   0,            0.785398,  0.2705981034453612,  0.2705981034453612,  0.6532814603306707,  0.6532814603306707
                  10,            0.785398,                   0,  0.6532814603306707,  0.2705981034453612,  0.2705981034453612,  0.6532814603306707
                  11,                   0,              1.0472,  0.1830118656101681,  0.1830118656101681,  0.6830129259727709,  0.6830129259727709
                  12,              1.0472,                   0,  0.6830129259727709,  0.1830118656101681,  0.1830118656101681,  0.6830129259727709
                  13,             -1.0472,                   0,  0.1830118656101681,  0.6830129259727709,  0.6830129259727709,  0.1830118656101681
                  14,           -0.523599,              2.0944, -0.1294106800827339, -0.2241459310253017,   0.836515809039842,  0.4829625023868248
                  15,                   0,              4.1888, -0.6830135982082818, -0.6830135982082818,  0.1830093567623682,  0.1830093567623682
                  16,                   0,             -2.0944,  0.6830122537280444,  0.6830122537280444, -0.1830143744554987, -0.1830143744554987
                  17,                   0,              10.472,  0.6830149426516572,  0.6830149426516572, -0.1830043390593605, -0.1830043390593605
